iter	Passed	Remaining
442	1254	1577
443	1256	1573
444	1260	1572
445	1262	1568
446	1265	1565
447	1268	1562
448	1270	1559
449	1273	1556
450	1276	1553
451	1278	1549
452	1280	1546
453	1283	1543
454	1286	1541
455	1289	1538
456	1292	1535
457	1294	1531
458	1297	1528
459	1299	1525
460	1302	1522
461	1304	1519
462	1307	1516
463	1310	1513
464	1312	1510
465	1315	1507
466	1319	1505
467	1321	1502
468	1323	1498
469	1327	1496
470	1329	1492
471	1331	1489
472	1333	1485
473	1336	1482
474	1338	1479
475	1341	1476
476	1344	1473
477	1346	1470
478	1348	1467
479	1351	1463
480	1353	1460
481	1356	1457
482	1358	1453
483	1360	1449
484	1362	1446
485	1365	1443
486	1367	1440
487	1369	1437
488	1372	1434
489	1374	1431
490	1377	1427
491	1379	1424
492	1382	1421
493	1385	1419
494	1387	1415
495	1390	1412
496	1393	1409
497	1395	1406
498	1397	1403
499	1400	1400
500	1403	1397
501	1406	1394
502	1408	1391
503	1411	1388
504	1413	1385
505	1416	1383
506	1419	1380
507	1422	1377
508	1425	1374
509	1429	1373
510	1431	1370
511	1434	1366
512	1438	1365
513	1441	1362
514	1444	1360
515	1446	1356
516	1448	1353
517	1451	1350
518	1453	1347
519	1456	1344
520	1459	1341
521	1462	1338
522	1464	1335
523	1467	1333
524	1470	1330
525	1475	1329
526	1478	1327
527	1483	1325
528	1486	1323
529	1490	1322
530	1494	1320
531	1498	1318
532	1503	1317
533	1507	1315
534	1513	1315
535	1517	1313
536	1521	1312
537	1527	1311
538	1532	1310
539	1537	1309
540	1542	1308
541	1546	1306
542	1550	1305
543	1554	1302
544	1558	1300
545	1560	1297
546	1564	1295
547	1568	1293
548	1572	1291
549	1576	1289
550	1582	1289
551	1587	1288
552	1591	1286
553	1596	1285
554	1600	1283
555	1604	1281
556	1610	1280
557	1614	1278
558	1619	1277
559	1623	1275
560	1629	1275
561	1633	1273
562	1640	1273
563	1648	1274
564	1655	1274
565	1663	1275
566	1667	1273
567	1670	1270
568	1674	1268
569	1681	1268
570	1685	1266
571	1691	1265
572	1696	1264
573	1699	1261
574	1703	1259
575	1707	1256
576	1711	1254
577	1714	1252
578	1718	1249
579	1722	1246
580	1726	1245
581	1731	1243
582	1738	1243
583	1745	1243
584	1749	1241
585	1753	1238
586	1756	1235
587	1760	1233
588	1765	1232
589	1770	1230
590	1783	1234
591	1788	1232
592	1793	1231
593	1796	1228
594	1799	1225
595	1802	1222
596	1806	1219
597	1808	1215
598	1811	1212
599	1814	1209
600	1818	1207
601	1823	1205
602	1827	1203
603	1831	1200
604	1834	1198
605	1838	1195
606	1841	1192
607	1845	1190
608	1854	1190
609	1857	1187
610	1863	1186
611	1871	1186
612	1874	1183
613	1877	1180
614	1880	1176
615	1884	1174
616	1887	1171
617	1893	1170
618	1898	1168
619	1901	1165
620	1904	1162
621	1908	1159
622	1910	1156
623	1913	1153
624	1916	1149
625	1918	1146
626	1921	1143
627	1924	1139
628	1926	1136
629	1929	1133
630	1932	1129
631	1934	1126
632	1937	1123
633	1940	1120
634	1943	1117
635	1945	1113
636	1948	1110
637	1950	1106
638	1953	1103
639	1955	1100
640	1958	1097
641	1961	1093
642	1963	1090
643	1966	1087
644	1969	1083
645	1972	1080
646	1974	1077
647	1976	1073
648	1978	1070
649	1981	1067
650	1985	1064
651	1988	1061
652	1991	1058
653	1995	1055
654	1997	1052
655	2000	1049
656	2003	1046
657	2005	1042
658	2006	1038
659	2008	1034
660	2010	1031
661	2012	1027
662	2014	1024
663	2016	1020
664	2018	1016
665	2020	1013
666	2022	1009
667	2023	1005
668	2025	1002
669	2027	998
670	2028	994
671	2030	991
672	2032	987
673	2034	983
674	2035	980
675	2038	976
676	2040	973
677	2043	970
678	2045	966
679	2047	963
680	2048	959
681	2050	956
682	2053	952
683	2055	949
684	2057	946
685	2059	942
686	2061	939
687	2063	935
688	2065	932
689	2067	928
690	2070	925
691	2072	922
692	2074	919
693	2077	915
694	2079	912
695	2081	908
696	2083	905
697	2085	902
698	2088	899
699	2090	895
700	2092	892
701	2094	888
702	2095	885
703	2097	882
704	2099	878
705	2102	875
706	2104	872
707	2106	868
708	2108	865
709	2109	861
710	2112	858
711	2114	855
712	2116	851
713	2118	848
714	2120	845
715	2122	841
716	2124	838
717	2125	834
718	2128	831
719	2130	828
720	2131	824
721	2133	821
722	2135	818
723	2137	814
724	2138	811
725	2140	807
726	2142	804
727	2144	801
728	2146	798
729	2149	794
730	2150	791
731	2152	788
732	2154	784
733	2156	781
734	2157	778
735	2159	774
736	2161	771
737	2163	768
738	2165	764
739	2166	761
740	2168	757
741	2170	754
742	2172	751
743	2173	748
744	2175	744
745	2177	741
746	2179	738
747	2181	734
748	2182	731
749	2184	728
750	2186	725
751	2188	721
752	2190	718
753	2192	715
754	2194	712
755	2196	708
756	2197	705
757	2199	702
758	2201	699
759	2205	696
760	2208	693
761	2209	690
762	2211	686
763	2213	683
764	2215	680
765	2219	678
766	2221	674
767	2223	671
768	2225	668
769	2226	665
770	2228	661
771	2230	658
772	2232	655
773	2234	652
774	2236	649
775	2238	646
776	2240	642
777	2241	639
778	2243	636
779	2245	633
780	2248	630
781	2250	627
782	2252	624
783	2254	621
784	2256	617
785	2257	614
786	2260	611
787	2262	608
788	2264	605
789	2265	602
790	2267	599
791	2269	596
792	2271	592
793	2272	589
794	2275	586
795	2277	583
796	2279	580
797	2281	577
798	2283	574
799	2284	571
800	2286	568
801	2288	565
802	2291	562
803	2293	559
804	2295	556
805	2297	552
806	2299	549
807	2300	546
808	2302	543
809	2304	540
810	2306	537
811	2308	534
812	2310	531
813	2312	528
814	2313	525
815	2315	522
816	2317	519
817	2319	516
818	2321	513
819	2323	510
820	2325	506
821	2327	503
822	2329	500
823	2330	497
824	2333	494
825	2335	491
826	2337	488
827	2339	485
828	2341	482
829	2343	479
830	2345	476
831	2347	474
832	2349	471
833	2353	468
834	2357	465
835	2359	462
836	2364	460
837	2371	458
838	2375	455
839	2376	452
840	2379	449
841	2382	446
842	2384	444
843	2386	441
844	2388	438
845	2396	436
846	2405	434
847	2408	431
848	2410	428
849	2412	425
850	2415	422
851	2418	420
852	2420	417
853	2423	414
854	2425	411
855	2428	408
856	2431	405
857	2435	403
858	2441	400
859	2443	397
860	2446	394
861	2448	391
862	2450	389
863	2452	386
864	2454	383
865	2457	380
866	2461	377
867	2465	374
868	2469	372
869	2473	369
870	2475	366
871	2477	363
872	2480	360
873	2482	357
874	2484	354
875	2487	352
876	2489	349
877	2491	346
878	2493	343
879	2495	340
880	2498	337
881	2500	334
882	2504	331
883	2507	328
